molecule_chembl_id,canonical_smiles
CHEMBL276460,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(CN)cc1c2C
CHEMBL7692,CC(C)(C)NCC(O)COC(=O)c1cccc(O)c1
CHEMBL14194,CCOC(=O)C1(CCCc2cc(Cl)ccc2OC)CO1
CHEMBL269080,S=C(Nc1ccc(Cl)cc1Cl)OC(Cn1ccnc1)c1ccc(Cl)cc1Cl
CHEMBL7788,Cn1cc(C2=NC[C@]3(CN4CC[C@@H]3C4)O2)c2ccccc21
CHEMBL275459,C/N=C(/S)[C@]1(c2cccnc2)CCCC[S@@+]1[O-]
CHEMBL14709,O=C(c1ccccc1)c1c[nH]c2nncc-2c1OCCO
CHEMBL8846,CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O
CHEMBL9932,O=C(O)CCCCCCCOc1ccc(NC(=O)C2=C(O)CN(c3ccc(N4CCOCC4)cc3)C2=O)cc1
CHEMBL14131,CC(C)N(CC[Se]CCN(C(C)C)C(C)C)C(C)C
CHEMBL277072,CC1(C)C=C(C(=O)NCCCNC(=O)CSc2ccccc2)C(C)(C)N1
CHEMBL12801,Clc1ccc2[nH]c3c(c2c1)CCN(CCc1ccc2ccccc2n1)C3
CHEMBL9660,CCN[C@H]1C[C@@H](CC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL417082,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc3c(c(-c4cccnc4)c1)OCC3)CC2
CHEMBL275686,CC(C)Oc1ccccc1NC(=O)Nc1ccc2cnccc2n1
CHEMBL10897,COc1ccc(CC2=C(c3ccccc3)C(=O)OC2(O)c2ccc(OC)cc2)cc1
CHEMBL275252,CCN(CC)S(=O)(=O)c1ccc2c(c1)C(n1ccccc1=O)=CC(C)(C)O2
CHEMBL276162,COC(=O)CSCCCCC/C=C(\NC(=O)C1CC1(C)C)C(=O)O
CHEMBL12754,Cc1ccccc1C(CCN(C(C)C)C(C)C)(CCN(C(C)C)C(C)C)C(N)=O
CHEMBL14125,Oc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1
CHEMBL13376,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
CHEMBL268101,COC(=O)C(C)(C)CCCOc1cc(OCCCC(C)(C)C(=O)OC)cc(-c2ccccc2)c1
CHEMBL269669,CC(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)C)cc2)cc1
CHEMBL9767,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(S(C)(=O)=O)ccc23)cc1
CHEMBL7425,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCCl)CC3
CHEMBL11283,CC/C(=C(\Cc1ccccc1)c1ccccc1)c1ccc(OCN2CCCCC2)cc1
CHEMBL6527,CC(C)(C)/N=C(/NC#N)NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O
CHEMBL14823,CCCc1c(OCCCOc2ccc(C(C)=O)c(OC)c2CCC)ccc2c1OC(C(=O)O)CC2
CHEMBL15011,CN(C)c1ccc(-c2cc(O)c3ccccc3n2)cc1
CHEMBL9604,CC(C)Oc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1
CHEMBL14917,c1ccc(-c2n[n+]3ccccc3c3ccc4ccccc4c23)cc1
CHEMBL9992,COc1cnc(C[S+]([O-])c2nc3cc(OCC(F)(F)F)ccc3[nH]2)c(C)c1OC
CHEMBL6259,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1
CHEMBL427979,O=C(CCCCc1ccccc1)OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12
CHEMBL6493,O=C(c1cc2ccccc2[nH]1)N1CCN(c2ncccc2NCc2ccccc2)CC1
CHEMBL9822,CCCCCCCCc1c(O)noc1CC(N)C(=O)O
CHEMBL6965,COc1ccc2ccc3oc([N+](=O)[O-])cc3c2c1OC
CHEMBL6861,CC(C)OC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
CHEMBL11423,O=C1C(Cl)=C(Nc2ccc(Br)cc2)C(=O)c2cnccc21
CHEMBL7270,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)C(C)(C)C3=O
CHEMBL13992,C=CCc1cc(/C=C/CO)ccc1OCC(O)CNC(C)(C)C
CHEMBL268472,CCCCCCc1c(O)noc1C[C@@H](N)C(=O)O
CHEMBL273499,CC(C)[C@H]1OC(=O)O[C@]1(Cn1cncn1)c1ccc(Cl)cc1
CHEMBL13492,CCN(CCCCCCC(F)F)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1
CHEMBL276598,COc1ccc2c3c1OC1[C@H](O)[C@](CO)(CCCCCc4ccccc4)CC4C(C2)N(CC2CC2)CCC341
CHEMBL277986,CCCCCCCN(Cc1ccc(CC(C)(C)C)cc1)C(=O)Nc1ccc(F)cc1F
CHEMBL7933,CC(C)N(CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23)C(C)C
